Index,Title,Price,Color
273,Foamies: Arch Fit Footsteps - Day Dream,"40,00 ",1 
274,Skechers Slip-ins: Ultra Flex 3.0 - Summerville,"70,00 ",1 
275,BOBS Desert Kiss - Secret Picnic,"50,00",1 
276,Foamies: GO WALK 7 - Joyous,"50,00 ",2 
277,Uno - Summer Stand2,"70,00 ",1 
278,GO WALK Flex Sandal - Sublime,"60,00 ",1 
279,GO WALK FLEX Sandal - Sunshine,"65,00 ",1 
280,GO WALK Flex Sandal - Elation,"60,00 ",1 
281,BOBS Desert Kiss,"45,00 ",1 
282,BOBS Desert Kiss - Adobe Princess,"50,00 ",1 
283,BOBS Flexpadrille HI - Serene Heights,"70,00 ",1 
284,Cleo Sawdust - Real Living,"60,00 ",2 
285,Jen Stark: Uno - Mini Drip,"100,00 ",1 
286,Jen Stark: Uno - Infinite Drip,"110,00 ",2 
287,Cordova Classic,"75,00 ",4 
288,Eden LX - Top Grade,"70,00 ",3 
289,Eden LX - Beaming Glory,"70,00 ",2 
290,Cordova Classic - Top Tier,"80,00 ",1 
291,Sport Court 92 - Illustrious,"80,00 ",1 
292,Skechers Slip-ins: Ultra Flex 3.0 - Glitter Me,"95,00 ",1 
293,Skechers Slip-ins: Summits - Unknown Trail,"80,00 ",3 
294,Skechers Slip-ins: Hazel - Priya,"85,00 ",3 
295,Skechers Slip-ins Relaxed Fit: Easy Going - Dreamers Move,"95,00 ",3 
296,Texas - Westernville,"90,00 ",2 
297,Skechers Slip-ins: Glide-Step - High Shine,"100,00 ",2 
298,BOBS Keepsakes Lite - Warm Regards,"45,00 ",2 
299,Keepsakes 2.0 - Morning Walks,"85,00 ",2 
300,Arch Fit Arcade - Arcata,"75,00 ",1 
301,Foamies: Namaste - Inner Peace,"50,00 ",2 
302,Skech-Air Dynamight - Laid Out,"70,00 ",1 
303,Skechers Slip-ins: Viper Court Elite,"160,00 ",1 
304,Camdenn - Been Lifted,"80,00 ",2 
305,BOBS Cozy Chill,"40,00 ",3 
306,Max Cushioning Elite 2.0 - Delphina,"110,00 ",1 
307,BOBS Keepsakes Lite - Bejeweled One,"50,00 ",1 
308,Skechers Vapor Foam - Summer Journey,"85,00 ",1 
309,Energy - Timeless Vision,"80,00 ",1 
310,Relaxed Fit: Breathe-Easy - Friendly Ties,"75,00 ",2 
311,Skechers Arch Fit S-Miles - Sonrisas,"100,00 ",1 
312,Work Relaxed Fit: Sure Track - Trickel,"90,00 ",1 
313,Relaxed Fit: D'Lux Walker 2.0 - Golden Step,"90,00 ",2 
314,Work: Bulklin - Lyndale Comp Toe,"110,00 ",1 
315,Work: Arch Fit Riverbound - Pasay SR,"70,00 ",1 
316,Cleo 2.0 - Glitzy Daze,"60,00 ",1 
317,Cozy Campfire - French Toast 2,"40,00 ",2 
318,D'Lites - Golden Chic,"80,00 ",1 
319,Synergy - Lovely Collab,"75,00 ",2 
320,Skechers Slip-ins: Graceful - First Blush,"85,00 ",2 
321,BOBS Keepsakes Lite - Cozy Blend,"45,00 ",2 
322,Trego - Snow Worries,"100,00 ",5 
323,Skechers SKX_01 Gold FG,"100,00 ",2 
324,BOBS Too Cozy - Puppy Pal,"45,00 ",1 
325,Work Relaxed Fit: Nampa - Wyola SR,"65,00 ",1 
326,Skechers Slip-ins: BOBS Too Cozy - Meow PJ's,"50,00 ",1 
327,BOBS Gala,"70,00 ",2 
328,Ultra Flex 3.0 - Elegant Night,"85,00 ",1 
329,Skechers Slip-ins: BOBS Sport Unity,"85,00 ",1 
330,Keepsakes Lite - Freezing Point 2,"85,00 ",1 
331,On-the-GO Stellar - Alpine Adventure,"100,00 ",2 
